Unnamed: 0,file,age
127559,54_Bill_Pullman_0006.jpg,40
127574,29_Eva_Green_0007.jpg,15
127586,54_Clint_Howard_0003.jpg,40
127601,34_Mena_Suvari_0010.jpg,20
127610,34_Poppy_Montgomery_0013.jpg,20
127618,39_Kathleen_Robertson_0006.jpg,25
127620,54_Patricia_Clarkson_0003.jpg,40
127627,44_Natascha_McElhone_0011.jpg,30
127632,29_Rebecca_Ferguson_0003.jpg,15
127633,49_Ellen_DeGeneres_0001.jpg,35
127643,44_Emily_Watson_0001.jpg,30
127651,39_John_Cho_0009.jpg,25
127663,39_Edward_Norton_0004.jpg,25
127667,29_Adrianne_Palicki_0002.jpg,15
127670,44_Steve_Carell_0007.jpg,30
127677,34_Anna_Faris_0001.jpg,20
127679,29_Rachel_McAdams_0011.jpg,15
127681,44_J.J._Abrams_0013.jpg,30
127690,54_Kurt_Russell_0016.jpg,40
127693,54_Dana_Carvey_0003.jpg,40
127696,54_Dennis_Haysbert_0007.jpg,40
127712,44_Kenneth_Branagh_0013.jpg,30
127716,49_Tim_Guinee_0004.jpg,35
127720,44_J.J._Abrams_0007.jpg,30
127723,54_Kurt_Russell_0002.jpg,40
127731,54_Dana_Carvey_0017.jpg,40
127738,34_Poppy_Montgomery_0007.jpg,20
127745,49_John_Turturro_0001.jpg,35
127748,44_Natascha_McElhone_0005.jpg,30
127752,29_Martin_Starr_0007.jpg,15
127758,54_Joan_Severance_0012.jpg,40
127759,49_Ellen_DeGeneres_0015.jpg,35
127760,29_Rebecca_Ferguson_0017.jpg,15
127762,49_Lori_Petty_0014.jpg,35
127771,44_Oliver_Platt_0005.jpg,30
127774,39_Jennifer_Connelly_0014.jpg,25
127785,54_Bill_Pullman_0012.jpg,40
127794,34_Leonardo_DiCaprio_0014.jpg,20
127805,54_James_Cameron_0002.jpg,40
127818,34_Mena_Suvari_0004.jpg,20
127826,49_Angela_Bassett_0003.jpg,35
127828,44_Renée_Zellweger_0006.jpg,30
127829,54_Heather_Ripley_0007.jpg,40
127836,29_Nicholas_D'Agosto_0012.jpg,15
127838,44_Clive_Owen_0016.jpg,30
127839,39_Ron_Livingston_0010.jpg,25
127844,54_Kurt_Fuller_0015.jpg,40
127853,29_Jayma_Mays_0003.jpg,15
127860,54_David_Caruso_0004.jpg,40
127863,39_Eli_Roth_0007.jpg,25
127873,29_Cillian_Murphy_0008.jpg,15
127876,49_Michael_Cerveris_0014.jpg,35
127877,29_Larisa_Oleynik_0014.jpg,15
127885,29_Alicia_Witt_0004.jpg,15
127886,49_David_E._Kelley_0001.jpg,35
127910,49_Monica_Bellucci_0001.jpg,35
127915,39_Jimmy_Fallon_0004.jpg,25
127916,29_Katie_Featherston_0004.jpg,15
127928,44_Frances_O'Connor_0001.jpg,30
127935,29_Sarah_Wright_0004.jpg,15
127937,34_Tia_Mowry-Hardrict_0004.jpg,20
127946,34_Colin_Hanks_0001.jpg,20
127951,29_Elsa_Pataky_0010.jpg,15
127968,44_Clark_Gregg_0012.jpg,30
127981,49_Ian_Hart_0005.jpg,35
127982,29_Evangeline_Lilly_0004.jpg,15
127989,44_Tom_Cruise_0012.jpg,30
127991,49_Chris_Elliott_0002.jpg,35
128000,44_Laurie_Holden_0014.jpg,30
128012,49_David_Spade_0002.jpg,35
128025,29_Evangeline_Lilly_0010.jpg,15
128028,34_Portia_de_Rossi_0008.jpg,20
128029,44_Tom_Cruise_0006.jpg,30
128035,39_Amanda_Peet_0002.jpg,25
128041,49_Michael_J._Fox_0018.jpg,35
128050,54_Michael_Madsen_0001.jpg,40
128074,29_Rosario_Dawson_0009.jpg,15
128076,29_Elsa_Pataky_0004.jpg,15
128083,34_Paul_Thomas_Anderson_0014.jpg,20
128089,29_Seann_William_Scott_0014.jpg,15
128090,49_Gary_Ross_0017.jpg,35
