Unnamed: 0,id_num,picture_num,race,Male,facial_hair,age,glasses,quality
285760_00M18.jpg,285760,0,B,1,,2,,GOOD
315806_00M16.jpg,315806,0,B,1,,0,,GOOD
266593_02M22.jpg,266593,2,B,1,,6,,GOOD
242882_05M23.jpg,242882,5,B,1,,7,,GOOD
241178_02M25.jpg,241178,2,B,1,,9,,GOOD
272624_00M20.jpg,272624,0,B,1,,4,,GOOD
304596_02M18.jpg,304596,2,B,1,,2,,GOOD
325171_00M17.jpg,325171,0,B,1,,1,,GOOD
274071_10M21.jpg,274071,10,B,1,,5,,GOOD
334740_02M16.jpg,334740,2,B,1,,0,,GOOD
327774_02M16.jpg,327774,2,B,1,,0,,GOOD
254075_01M22.jpg,254075,1,B,1,,6,,GOOD
227141_03M25.jpg,227141,3,B,1,,9,,GOOD
322546_01M19.jpg,322546,1,B,1,,3,,GOOD
222787_00M24.jpg,222787,0,B,1,,8,,GOOD
327413_00M20.jpg,327413,0,B,1,,4,,GOOD
222378_01M25.jpg,222378,1,B,1,,9,,GOOD
269985_02F21.jpg,269985,2,B,-1,,5,,GOOD
259287_00M24.jpg,259287,0,B,1,,8,,GOOD
297272_02F19.jpg,297272,2,B,-1,,3,,GOOD
316451_00M22.jpg,316451,0,B,1,,6,,GOOD
331708_03M17.jpg,331708,3,B,1,,1,,GOOD
289754_01M18.jpg,289754,1,W,1,,2,,GOOD
307107_04M19.jpg,307107,4,B,1,,3,,GOOD
318052_01M24.jpg,318052,1,B,1,,8,,GOOD
293556_04M19.jpg,293556,4,W,1,,3,,GOOD
309987_04M18.jpg,309987,4,B,1,,2,,GOOD
326445_01M16.jpg,326445,1,W,1,,0,,GOOD
262297_00M23.jpg,262297,0,B,1,,7,,GOOD
323236_01M23.jpg,323236,1,W,1,,7,,GOOD
233905_01M24.jpg,233905,1,B,1,,8,,GOOD
292973_01M21.jpg,292973,1,W,1,,5,,GOOD
288774_01M21.jpg,288774,1,B,1,,5,,GOOD
258330_01M22.jpg,258330,1,B,1,,6,,GOOD
301541_03M19.jpg,301541,3,B,1,,3,,GOOD
220611_00M24.jpg,220611,0,B,1,,8,,GOOD
314419_03M17.jpg,314419,3,B,1,,1,,GOOD
344387_03M19.jpg,344387,3,B,1,,3,,GOOD
277971_01M21.jpg,277971,1,W,1,,5,,GOOD
330379_02M16.jpg,330379,2,B,1,,0,,GOOD
319343_00M20.jpg,319343,0,B,1,,4,,GOOD
278244_09M20.jpg,278244,9,B,1,,4,,GOOD
282233_00F19.jpg,282233,0,B,-1,,3,,GOOD
337938_04F20.jpg,337938,4,W,-1,,4,,GOOD
212421_01M25.jpg,212421,1,B,1,,9,,GOOD
320143_01M20.jpg,320143,1,H,1,,4,,GOOD
315183_01M18.jpg,315183,1,H,1,,2,,GOOD
261845_01M21.jpg,261845,1,B,1,,5,,GOOD
324200_02M22.jpg,324200,2,B,1,,6,,GOOD
351849_01M16.jpg,351849,1,W,1,,0,,GOOD
335048_04M17.jpg,335048,4,B,1,,1,,GOOD
291066_01M17.jpg,291066,1,B,1,,1,,GOOD
251871_00M21.jpg,251871,0,B,1,,5,,GOOD
278244_06M20.jpg,278244,6,B,1,,4,,GOOD
324323_02M17.jpg,324323,2,B,1,,1,,GOOD
234741_04M25.jpg,234741,4,B,1,,9,,GOOD
331905_00M19.jpg,331905,0,W,1,,3,,GOOD
326588_01M16.jpg,326588,1,B,1,,0,,GOOD
330068_00M16.jpg,330068,0,B,1,,0,,GOOD
245101_00M24.jpg,245101,0,B,1,,8,,GOOD
295011_00M21.jpg,295011,0,B,1,,5,,GOOD
332136_01M17.jpg,332136,1,B,1,,1,,GOOD
332075_02M17.jpg,332075,2,W,1,,1,,GOOD
348458_00M19.jpg,348458,0,W,1,,3,,GOOD
322762_01M18.jpg,322762,1,H,1,,2,,GOOD
277786_02M24.jpg,277786,2,B,1,,8,,GOOD
325549_03M17.jpg,325549,3,B,1,,1,,GOOD
284802_08M20.jpg,284802,8,B,1,,4,,GOOD
323917_00M17.jpg,323917,0,B,1,,1,,GOOD
326892_02M21.jpg,326892,2,B,1,,5,,GOOD
302736_03M18.jpg,302736,3,W,1,,2,,GOOD
260467_08M24.jpg,260467,8,B,1,,8,,GOOD
269270_04M22.jpg,269270,4,B,1,,6,,GOOD
318958_00M18.jpg,318958,0,B,1,,2,,GOOD
282941_05M19.jpg,282941,5,B,1,,3,,GOOD
276404_03M22.jpg,276404,3,B,1,,6,,GOOD
292025_00M22.jpg,292025,0,H,1,,6,,GOOD
327255_00M20.jpg,327255,0,H,1,,4,,GOOD
309868_02M20.jpg,309868,2,B,1,,4,,GOOD
340808_03M18.jpg,340808,3,H,1,,2,,GOOD
316936_02M21.jpg,316936,2,H,1,,5,,GOOD
343086_02M18.jpg,343086,2,B,1,,2,,GOOD
240315_00M23.jpg,240315,0,B,1,,7,,GOOD
258418_01M25.jpg,258418,1,B,1,,9,,GOOD
239483_02M23.jpg,239483,2,B,1,,7,,GOOD
222465_00M24.jpg,222465,0,B,1,,8,,GOOD
292055_05M21.jpg,292055,5,B,1,,5,,GOOD
285407_01M19.jpg,285407,1,B,1,,3,,GOOD
309867_05M18.jpg,309867,5,B,1,,2,,GOOD
245392_00M24.jpg,245392,0,B,1,,8,,GOOD
313790_06M18.jpg,313790,6,B,1,,2,,GOOD
333857_04M16.jpg,333857,4,W,1,,0,,GOOD
247095_00M24.jpg,247095,0,B,1,,8,,GOOD
329573_01F19.jpg,329573,1,B,-1,,3,,GOOD
258374_03M22.jpg,258374,3,B,1,,6,,GOOD
331899_02M16.jpg,331899,2,B,1,,0,,GOOD
327449_00M23.jpg,327449,0,B,1,,7,,GOOD
321064_00M17.jpg,321064,0,W,1,,1,,GOOD
293455_00M19.jpg,293455,0,B,1,,3,,GOOD
296755_01M21.jpg,296755,1,B,1,,5,,GOOD
317120_00M17.jpg,317120,0,H,1,,1,,GOOD
262158_00M25.jpg,262158,0,B,1,,9,,GOOD
325943_08M18.jpg,325943,8,B,1,,2,,GOOD
311204_03M25.jpg,311204,3,B,1,,9,,GOOD
352496_01M22.jpg,352496,1,B,1,,6,,GOOD
340588_02M19.jpg,340588,2,W,1,,3,,GOOD
325345_02M19.jpg,325345,2,W,1,,3,,GOOD
282966_02M20.jpg,282966,2,B,1,,4,,GOOD
286210_01M22.jpg,286210,1,B,1,,6,,GOOD
329125_03M18.jpg,329125,3,W,1,,2,,GOOD
272153_01M20.jpg,272153,1,B,1,,4,,GOOD
281680_07M22.jpg,281680,7,B,1,,6,,GOOD
305832_00M17.jpg,305832,0,B,1,,1,,GOOD
215848_00M23.jpg,215848,0,B,1,,7,,GOOD
319594_00M16.jpg,319594,0,B,1,,0,,GOOD
332029_02M16.jpg,332029,2,B,1,,0,,GOOD
342521_01F23.jpg,342521,1,B,-1,,7,,GOOD
327136_01M17.jpg,327136,1,B,1,,1,,GOOD
307789_00F20.jpg,307789,0,B,-1,,4,,GOOD
331594_01M19.jpg,331594,1,B,1,,3,,GOOD
293241_05M25.jpg,293241,5,B,1,,9,,GOOD
306138_01M21.jpg,306138,1,B,1,,5,,GOOD
292544_02M17.jpg,292544,2,B,1,,1,,GOOD
268166_00M19.jpg,268166,0,B,1,,3,,GOOD
255440_04M23.jpg,255440,4,B,1,,7,,GOOD
235687_02M25.jpg,235687,2,B,1,,9,,GOOD
320157_02F25.jpg,320157,2,B,-1,,9,,GOOD
217206_01M25.jpg,217206,1,B,1,,9,,GOOD
346989_02F19.jpg,346989,2,B,-1,,3,,GOOD
343177_03M17.jpg,343177,3,B,1,,1,,GOOD
306660_03M19.jpg,306660,3,B,1,,3,,GOOD
257661_01M23.jpg,257661,1,W,1,,7,,GOOD
332701_02M16.jpg,332701,2,H,1,,0,,GOOD
294214_01M19.jpg,294214,1,B,1,,3,,GOOD
313375_00M22.jpg,313375,0,B,1,,6,,GOOD
268575_01M21.jpg,268575,1,H,1,,5,,GOOD
300730_00M19.jpg,300730,0,B,1,,3,,GOOD
325379_00M20.jpg,325379,0,H,1,,4,,GOOD
328886_01M17.jpg,328886,1,H,1,,1,,GOOD
322851_03M20.jpg,322851,3,B,1,,4,,GOOD
307313_07M19.jpg,307313,7,B,1,,3,,GOOD
332235_00M16.jpg,332235,0,B,1,,0,,GOOD
315062_04M18.jpg,315062,4,B,1,,2,,GOOD
267660_04M22.jpg,267660,4,B,1,,6,,GOOD
319693_02M19.jpg,319693,2,W,1,,3,,GOOD
321159_03F19.jpg,321159,3,W,-1,,3,,GOOD
285530_00M18.jpg,285530,0,B,1,,2,,GOOD
276450_01M22.jpg,276450,1,B,1,,6,,GOOD
286636_01M25.jpg,286636,1,B,1,,9,,GOOD
333039_00M19.jpg,333039,0,W,1,,3,,GOOD
287543_01M19.jpg,287543,1,B,1,,3,,GOOD
280075_01M19.jpg,280075,1,B,1,,3,,GOOD
314419_00M16.jpg,314419,0,B,1,,0,,GOOD
324119_00M25.jpg,324119,0,B,1,,9,,GOOD
338643_00M16.jpg,338643,0,H,1,,0,,GOOD
285379_04M22.jpg,285379,4,B,1,,6,,GOOD
246261_02M23.jpg,246261,2,B,1,,7,,GOOD
293682_03M19.jpg,293682,3,B,1,,3,,GOOD
305975_02M20.jpg,305975,2,B,1,,4,,GOOD
